"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"RF",0.2,"MARMCAR",0,0.1,0.1,1,26,200,5200,9.92670965194702,1.05062163690879
"min",0.2,"MARMCAR",0,0.1,0.1,1,26,200,5200,0.0898897647857666,2.03064182513348
"mean",0.2,"MARMCAR",0,0.1,0.1,1,26,200,5200,0.0965533256530762,1.03354157056544
"LLS",0.2,"MARMCAR",0,0.1,0.1,1,26,200,5200,6.20518589019775,1.38228183129738
"KNNImpute",0.2,"MARMCAR",0,0.1,0.1,1,26,200,5200,0.00118565559387207,1.07110651956794
"BPCA",0.2,"MARMCAR",0,0.1,0.1,1,26,200,5200,0.220607280731201,1.03354157056544
"svdImpute",0.2,"MARMCAR",0,0.1,0.1,1,26,200,5200,0.335487127304077,2.02024926098562
"PPCA",0.2,"MARMCAR",0.1,0,0.1,1,26,200,5200,0.335487127304077,NA
"RF",0.2,"MNARMAR",0.1,0,0.1,1,26,200,5200,6.08204817771912,1.30434763477156
"min",0.2,"MNARMAR",0.1,0,0.1,1,26,200,5200,0.0792355537414551,1.26910133188386
"mean",0.2,"MNARMAR",0.1,0,0.1,1,26,200,5200,0.0753672122955322,1.29386569844215
"LLS",0.2,"MNARMAR",0.1,0,0.1,1,26,200,5200,5.57946753501892,1.48165468760593
"KNNImpute",0.2,"MNARMAR",0.1,0,0.1,1,26,200,5200,0.00115537643432617,1.32932424322929
"BPCA",0.2,"MNARMAR",0.1,0,0.1,1,26,200,5200,0.216985940933228,1.29386569844215
"svdImpute",0.2,"MNARMAR",0.1,0,0.1,1,26,200,5200,0.406297445297241,2.05529314397866
"PPCA",0.2,"MNARMARMCAR",0.07,0.07,0.07,1,26,200,5200,53.3655405044556,1.26120376511315
"RF",0.2,"MNARMARMCAR",0.07,0.07,0.07,1,26,200,5200,4.77870774269104,1.22329450496726
"min",0.2,"MNARMARMCAR",0.07,0.07,0.07,1,26,200,5200,0.0810554027557373,1.43008419483493
"mean",0.2,"MNARMARMCAR",0.07,0.07,0.07,1,26,200,5200,0.0765159130096436,1.20969576539806
"LLS",0.2,"MNARMARMCAR",0.07,0.07,0.07,1,26,200,5200,5.82717776298523,1.48622302763689
"KNNImpute",0.2,"MNARMARMCAR",0.07,0.07,0.07,1,26,200,5200,0.00117301940917969,1.22780845557377
"BPCA",0.2,"MNARMARMCAR",0.07,0.07,0.07,1,26,200,5200,0.222373247146606,1.20969576539806
"svdImpute",0.2,"MNARMARMCAR",0.07,0.07,0.07,1,26,200,5200,0.263003349304199,1.8418740393741
"PPCA",0.3,"MCAR",0,0.3,0,1,26,200,5200,2.26077947219213,1.11139638797104
"RF",0.3,"MCAR",0,0.3,0,1,26,200,5200,4.24798154830933,1.03092816656666
"min",0.3,"MCAR",0,0.3,0,1,26,200,5200,0.0780904293060303,2.03543820943713
"mean",0.3,"MCAR",0,0.3,0,1,26,200,5200,0.0756008625030518,1.0231947894624
"LLS",0.3,"MCAR",0,0.3,0,1,26,200,5200,5.81523585319519,1.80772164734939
"KNNImpute",0.3,"MCAR",0,0.3,0,1,26,200,5200,0.00128722190856934,1.05853303477544
"BPCA",0.3,"MCAR",0,0.3,0,1,26,200,5200,0.340403079986572,1.0231947894624
"svdImpute",0.3,"MCAR",0,0.3,0,1,26,200,5200,0.525824069976807,2.26122076109745
"PPCA",0.3,"MCAR",0.3,0,0,1,26,200,5200,0.525824069976807,NA
"RF",0.3,"MNAR",0.3,0,0,1,26,200,5200,2.77206182479858,2.59044935698147
"min",0.3,"MNAR",0.3,0,0,1,26,200,5200,0.0794706344604492,1.43012166646911
"mean",0.3,"MNAR",0.3,0,0,1,26,200,5200,0.0749709606170654,2.57355821383117
"LLS",0.3,"MNAR",0.3,0,0,1,26,200,5200,5.68899440765381,65.8152080973792
"KNNImpute",0.3,"MNAR",0.3,0,0,1,26,200,5200,5.68899440765381,NA
"BPCA",0.3,"MNAR",0.3,0,0,1,26,200,5200,0.32882022857666,2.57355821383117
"svdImpute",0.3,"MNAR",0.3,0,0,1,26,200,5200,2.021817445755,40.7883952199926
"PPCA",0.3,"MNAR",0,0,0.3,1,26,200,5200,2.021817445755,NA
"RF",0.3,"MAR",0,0,0.3,1,26,200,5200,4.17281913757324,1.04112315344238
"min",0.3,"MAR",0,0,0.3,1,26,200,5200,0.0795726776123047,2.06678124740178
"mean",0.3,"MAR",0,0,0.3,1,26,200,5200,0.075894832611084,1.02655768597448
"LLS",0.3,"MAR",0,0,0.3,1,26,200,5200,5.81313681602478,2.37295714109673
"KNNImpute",0.3,"MAR",0,0,0.3,1,26,200,5200,0.00134992599487305,1.07695970655429
"BPCA",0.3,"MAR",0,0,0.3,1,26,200,5200,0.331253528594971,1.02655768597448
"svdImpute",0.3,"MAR",0,0,0.3,1,26,200,5200,3.87390971183777,101.233396855406
"PPCA",0.3,"MAR",0.15,0.15,0,1,26,200,5200,3.87390971183777,NA
"RF",0.3,"MNARMCAR",0.15,0.15,0,1,26,200,5200,5.80042839050293,1.46848643805876
"min",0.3,"MNARMCAR",0.15,0.15,0,1,26,200,5200,0.0825963020324707,1.25274583450943
"mean",0.3,"MNARMCAR",0.15,0.15,0,1,26,200,5200,0.076146125793457,1.44761365088328
"LLS",0.3,"MNARMCAR",0.15,0.15,0,1,26,200,5200,5.856764793396,15.4416382860894
"KNNImpute",0.3,"MNARMCAR",0.15,0.15,0,1,26,200,5200,5.856764793396,NA
"BPCA",0.3,"MNARMCAR",0.15,0.15,0,1,26,200,5200,0.333387613296509,1.44761365088328
"svdImpute",0.3,"MNARMCAR",0.15,0.15,0,1,26,200,5200,0.242739677429199,92.6826189643967
"PPCA",0.3,"MNARMCAR",0,0.15,0.15,1,26,200,5200,0.242739677429199,NA
"RF",0.3,"MARMCAR",0,0.15,0.15,1,26,200,5200,7.04888367652893,1.04892082120555
"min",0.3,"MARMCAR",0,0.15,0.15,1,26,200,5200,0.0784506797790527,2.03945869604703
"mean",0.3,"MARMCAR",0,0.15,0.15,1,26,200,5200,0.0750725269317627,1.02981420595898
"LLS",0.3,"MARMCAR",0,0.15,0.15,1,26,200,5200,5.81518006324768,1.7715396781845
"KNNImpute",0.3,"MARMCAR",0,0.15,0.15,1,26,200,5200,0.00125885009765625,1.06545910225424
"BPCA",0.3,"MARMCAR",0,0.15,0.15,1,26,200,5200,0.332616329193115,1.02981420595898
"svdImpute",0.3,"MARMCAR",0,0.15,0.15,1,26,200,5200,1.84135103225708,5.5068242374125
"PPCA",0.3,"MARMCAR",0.15,0,0.15,1,26,200,5200,1.84135103225708,NA
"RF",0.3,"MNARMAR",0.15,0,0.15,1,26,200,5200,4.05707049369812,1.338878337346
"min",0.3,"MNARMAR",0.15,0,0.15,1,26,200,5200,0.0817503929138184,1.22753296756294
"mean",0.3,"MNARMAR",0.15,0,0.15,1,26,200,5200,0.0754282474517822,1.32154982346925
"LLS",0.3,"MNARMAR",0.15,0,0.15,1,26,200,5200,5.64737844467163,1.68005461534221
"KNNImpute",0.3,"MNARMAR",0.15,0,0.15,1,26,200,5200,5.64737844467163,NA
"BPCA",0.3,"MNARMAR",0.15,0,0.15,1,26,200,5200,0.332843065261841,1.32154982346925
