"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"BPCA",0.6," MNAR  MAR ",0.3,0,0.3,1,75,1000,75000,14.5107853412628,1.29124044838861
"PPCA",0.6," MNAR  MAR ",0.2,0.2,0.2,1,75,1000,75000,14.5107853412628,NA
"RF",0.6," MNAR  MAR  MCAR ",0.2,0.2,0.2,1,75,1000,75000,57.9861214160919,1.21113586909132
"min",0.6," MNAR  MAR  MCAR ",0.2,0.2,0.2,1,75,1000,75000,0.34032940864563,1.26680746029704
"mean",0.6," MNAR  MAR  MCAR ",0.2,0.2,0.2,1,75,1000,75000,0.32932710647583,1.20640783833166
"LLS",0.6," MNAR  MAR  MCAR ",0.2,0.2,0.2,1,75,1000,75000,3.65229787031809,1204.55430084701
"KNNImpute",0.6," MNAR  MAR  MCAR ",0.2,0.2,0.2,1,75,1000,75000,0.00767827033996582,NA
"BPCA",0.6," MNAR  MAR  MCAR ",0.2,0.2,0.2,1,75,1000,75000,14.458261013031,1.20640783833166
"PPCA",0.8," MNAR  MAR  MCAR ",0,0.8,0,1,75,1000,75000,14.458261013031,NA
"RF",0.8," MCAR ",0,0.8,0,1,75,1000,75000,12.7046899795532,1.04171399146761
"min",0.8," MCAR ",0,0.8,0,1,75,1000,75000,0.318753480911255,2.15313191385909
"mean",0.8," MCAR ",0,0.8,0,1,75,1000,75000,0.333850145339966,1.02987447908444
"LLS",0.8," MCAR ",0,0.8,0,1,75,1000,75000,1.90986042817434,1.53800644254033
"KNNImpute",0.8," MCAR ",0,0.8,0,1,75,1000,75000,0.0186493396759033,1.22540216640616
"BPCA",0.8," MCAR ",0,0.8,0,1,75,1000,75000,7.73858380317688,1.02987447908444
"PPCA",0.8," MCAR ",0.8,0,0,1,75,1000,75000,7.73858380317688,NA
"RF",0.8," MNAR ",0.8,0,0,1,75,1000,75000,20.6040987968445,2.49731928408371
"min",0.8," MNAR ",0.8,0,0,1,75,1000,75000,0.320423126220703,1.67845505623187
"mean",0.8," MNAR ",0.8,0,0,1,75,1000,75000,0.334868669509888,2.50016455950067
"LLS",0.8," MNAR ",0.8,0,0,1,75,1000,75000,2.32155398527781,8.12489587824215
"KNNImpute",0.8," MNAR ",0.8,0,0,1,75,1000,75000,0.0213644504547119,2.54155949145766
"BPCA",0.8," MNAR ",0.8,0,0,1,75,1000,75000,5.41515803337097,2.50016455950067
"PPCA",0.8," MNAR ",0,0,0.8,1,75,1000,75000,5.41515803337097,NA
"RF",0.8," MAR ",0,0,0.8,1,75,1000,75000,14.9912686347961,1.03756502411249
"min",0.8," MAR ",0,0,0.8,1,75,1000,75000,0.319550275802612,2.22835513222334
"mean",0.8," MAR ",0,0,0.8,1,75,1000,75000,0.342730760574341,1.02581111760171
"LLS",0.8," MAR ",0,0,0.8,1,75,1000,75000,2.20878035227458,1.61573701180493
"KNNImpute",0.8," MAR ",0,0,0.8,1,75,1000,75000,0.0194258689880371,1.20712374935964
"BPCA",0.8," MAR ",0,0,0.8,1,75,1000,75000,7.46934819221497,1.02581111760171
"PPCA",0.8," MAR ",0.4,0.4,0,1,75,1000,75000,7.46934819221497,NA
"RF",0.8," MNAR  MCAR ",0.4,0.4,0,1,75,1000,75000,19.0807301998138,1.49625936240061
"min",0.8," MNAR  MCAR ",0.4,0.4,0,1,75,1000,75000,0.320707321166992,1.10190514300527
"mean",0.8," MNAR  MCAR ",0.4,0.4,0,1,75,1000,75000,0.335602760314941,1.49679901805967
"LLS",0.8," MNAR  MCAR ",0.4,0.4,0,1,75,1000,75000,2.31749881108602,6.45618690759657
"KNNImpute",0.8," MNAR  MCAR ",0.4,0.4,0,1,75,1000,75000,0.0208866596221924,1.54890979457291
"BPCA",0.8," MNAR  MCAR ",0.4,0.4,0,1,75,1000,75000,7.05016565322876,1.49679901805967
"PPCA",0.8," MNAR  MCAR ",0,0.4,0.4,1,75,1000,75000,7.05016565322876,NA
