"Method","Miss","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Result_diff","NRMSE"
"mean",0.01,0.005,0.005,0,1,561,27,15147,0.040809850301333,1.43083070487501
"mean",0.01,0,0.005,0.005,1,561,27,15147,0.0132868234174182,0.986136751430331
"mean",0.01,0.005,0,0.005,1,561,27,15147,0.0620654624251406,1.4502055243258
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,561,27,15147,0.0622522653344716,1.39390477052966
"mean",0.05,0,0.05,0,1,561,27,15147,0.0161179402554802,1.00221802755745
"mean",0.05,0.05,0,0,1,561,27,15147,0.0994882704903494,3.61038039783589
"mean",0.05,0,0,0.05,1,561,27,15147,0.0152728961018323,0.99984634985622
"mean",0.05,0.025,0.025,0,1,561,27,15147,0.0469359558892421,1.33328064847224
"mean",0.05,0,0.025,0.025,1,561,27,15147,0.0168820327327702,1.00050561952841
"mean",0.05,0.025,0,0.025,1,561,27,15147,0.0486673160424789,1.3596985792076
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,561,27,15147,0.0492818682097588,1.34990350056674
"mean",0.01,0,0.01,0,1,561,37,20757,0.0152843284118136,0.993825645176582
"mean",0.01,0.01,0,0,1,561,37,20757,0.110290184262682,3.99952623772415
"mean",0.01,0,0,0.01,1,561,37,20757,0.0159528022680768,1.01382117955116
"mean",0.01,0.005,0.005,0,1,561,37,20757,0.0501228710899527,1.35212470904332
"mean",0.01,0,0.005,0.005,1,561,37,20757,0.0165034456736908,0.998414204756995
"mean",0.01,0.005,0,0.005,1,561,37,20757,0.0605189603925907,1.44775292531957
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,561,37,20757,0.0522994894001462,1.39748163305179
"mean",0.05,0,0.05,0,1,561,37,20757,0.015173701718789,0.99927630101644
"mean",0.05,0.05,0,0,1,561,37,20757,0.0927181968390025,3.03835699728299
"mean",0.05,0,0,0.05,1,561,37,20757,0.0150024864263331,1.00313146512834
"mean",0.05,0.025,0.025,0,1,561,37,20757,0.0495312182854472,1.35711742423284
"mean",0.05,0,0.025,0.025,1,561,37,20757,0.0151360288223789,1.00298021028945
"mean",0.05,0.025,0,0.025,1,561,37,20757,0.0509955003500046,1.3675280336377
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,561,37,20757,0.0487278507065142,1.3520370747987
"mean",0.01,0,0.01,0,1,561,46,25806,0.0183034584481063,1.0003938859948
"mean",0.01,0.01,0,0,1,561,46,25806,0.140806188170301,3.9584665678027
"mean",0.01,0,0,0.01,1,561,46,25806,0.0141820468979167,1.00059286274258
"mean",0.01,0.005,0.005,0,1,561,46,25806,0.039262507533866,1.46338818736781
"mean",0.01,0,0.005,0.005,1,561,46,25806,0.0172763481020567,1.0074711111009
"mean",0.01,0.005,0,0.005,1,561,46,25806,0.0601289987981179,1.38906793408263
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,561,46,25806,0.0571593685697421,1.51505470381368
"mean",0.05,0,0.05,0,1,561,46,25806,0.0159377877288829,1.00243354632744
"mean",0.05,0.05,0,0,1,561,46,25806,0.100400323030106,3.80924636547325
"mean",0.05,0,0,0.05,1,561,46,25806,0.014517320418967,1.00286478836492
"mean",0.05,0.025,0.025,0,1,561,46,25806,0.0542188188135174,1.37133944508354
"mean",0.05,0,0.025,0.025,1,561,46,25806,0.016008685940243,0.99875480317403
"mean",0.05,0.025,0,0.025,1,561,46,25806,0.0518146266800878,1.3901667915542
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,561,46,25806,0.0520774668986525,1.39870328598605
"mean",0.01,0,0.01,0,1,561,24,13464,0.017830888977035,1.00623404663482
"mean",0.01,0.01,0,0,1,561,24,13464,0.117226289976236,4.57883511806392
"mean",0.01,0,0,0.01,1,561,24,13464,0.0175788283653619,0.994689381132083
"mean",0.01,0.005,0.005,0,1,561,24,13464,0.0512527948363388,1.45222861950094
"mean",0.01,0,0.005,0.005,1,561,24,13464,0.0130159244365367,1.0000542172486
"mean",0.01,0.005,0,0.005,1,561,24,13464,0.0496659952096376,1.35009499502186
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,561,24,13464,0.0818654786811113,1.42099970434064
"mean",0.05,0,0.05,0,1,561,24,13464,0.0143905234604038,0.999614250907851
"mean",0.05,0.05,0,0,1,561,24,13464,0.0932474641505353,3.0824848088148
"mean",0.05,0,0,0.05,1,561,24,13464,0.0153581001557348,1.00149321546718
"mean",0.05,0.025,0.025,0,1,561,24,13464,0.0468583087719886,1.37237353846753
"mean",0.05,0,0.025,0.025,1,561,24,13464,0.0155768385306065,0.997566821820559
"mean",0.05,0.025,0,0.025,1,561,24,13464,0.0489169359729635,1.39566580232551
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,561,24,13464,0.0531123949149562,1.3711906569015
"mean",0.01,0,0.01,0,1,570,43,24510,0.0133686263442567,0.997631105439181
"mean",0.01,0.01,0,0,1,570,43,24510,0.151223710337132,4.97689159404909
"mean",0.01,0,0,0.01,1,570,43,24510,0.0177154209614133,1.00853567385447
"mean",0.01,0.005,0.005,0,1,570,43,24510,0.0506912558531645,1.39554684648029
"mean",0.01,0,0.005,0.005,1,570,43,24510,0.0178263663496902,1.01817563723394
"mean",0.01,0.005,0,0.005,1,570,43,24510,0.0586442144692835,1.34773532640529
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,570,43,24510,0.0735503256917012,1.44009364988522
"mean",0.05,0,0.05,0,1,570,43,24510,0.015194821684709,1.00044279674702
"mean",0.05,0.05,0,0,1,570,43,24510,0.10825649599912,3.7424063921656
"mean",0.05,0,0,0.05,1,570,43,24510,0.0155684766713833,0.999131750312881
"mean",0.05,0.025,0.025,0,1,570,43,24510,0.0483749267276536,1.35084466867677
"mean",0.05,0,0.025,0.025,1,570,43,24510,0.0157556689653078,0.99821958432066
"mean",0.05,0.025,0,0.025,1,570,43,24510,0.0495612877079059,1.45007369362835
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,570,43,24510,0.0538701671873201,1.32386097383942
"mean",0.01,0,0.01,0,1,570,27,15390,0.0182841970765798,1.00097428957878
"mean",0.01,0.01,0,0,1,570,27,15390,0.13422168583731,4.92293543459402
"mean",0.01,0,0,0.01,1,570,27,15390,0.0151490074145214,1.0079435000128
"mean",0.01,0.005,0.005,0,1,570,27,15390,0.0585617169976827,1.51855622327684
"mean",0.01,0,0.005,0.005,1,570,27,15390,0.0123537140266641,0.992529056047218
"mean",0.01,0.005,0,0.005,1,570,27,15390,0.0584364357111539,1.35470159183423
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,570,27,15390,0.0962261788301786,1.68716604597089
"mean",0.05,0,0.05,0,1,570,27,15390,0.0148117278069703,1.00050252650132
"mean",0.05,0.05,0,0,1,570,27,15390,0.0955403126740612,3.19482105946987
"mean",0.05,0,0,0.05,1,570,27,15390,0.0161058414415293,1.00019706563874
"mean",0.05,0.025,0.025,0,1,570,27,15390,0.0583962711941609,1.35905471455328
"mean",0.05,0,0.025,0.025,1,570,27,15390,0.0144376284109271,1.00026785555779
"mean",0.05,0.025,0,0.025,1,570,27,15390,0.0498168751167169,1.36935852976669
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,570,27,15390,0.05637720110037,1.32973280236011
"mean",0.01,0,0.01,0,1,570,37,21090,0.0147666770625836,0.999945289993768
"mean",0.01,0.01,0,0,1,570,37,21090,0.105781595921196,3.8023347897025
"mean",0.01,0,0,0.01,1,570,37,21090,0.0156782526275571,1.00091959556294
"mean",0.01,0.005,0.005,0,1,570,37,21090,0.0620280973501384,1.41353731993722
"mean",0.01,0,0.005,0.005,1,570,37,21090,0.0120084848888711,0.992816433140664
"mean",0.01,0.005,0,0.005,1,570,37,21090,0.0611873320456994,1.43853426609338
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,570,37,21090,0.0549230720878025,1.27052096478433
"mean",0.05,0,0.05,0,1,570,37,21090,0.015669470126461,0.99896701416444
"mean",0.05,0.05,0,0,1,570,37,21090,0.110937405312213,4.50523645452104
"mean",0.05,0,0,0.05,1,570,37,21090,0.0154961799381452,0.999714623224426
"mean",0.05,0.025,0.025,0,1,570,37,21090,0.0500303988247184,1.36882577370894
"mean",0.05,0,0.025,0.025,1,570,37,21090,0.0157980278317465,0.999662476600051
"mean",0.05,0.025,0,0.025,1,570,37,21090,0.0486911961018346,1.34101994019566
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,570,37,21090,0.0493759566548105,1.31957778176325
"mean",0.01,0,0.01,0,1,570,46,26220,0.0175106214883704,1.00124026121096
"mean",0.01,0.01,0,0,1,570,46,26220,0.112439484589978,4.52302451765042
"mean",0.01,0,0,0.01,1,570,46,26220,0.0151713270193842,1.0029364533354
"mean",0.01,0.005,0.005,0,1,570,46,26220,0.0485193311278686,1.34265187040831
"mean",0.01,0,0.005,0.005,1,570,46,26220,0.0167710167157987,0.996170524213757
"mean",0.01,0.005,0,0.005,1,570,46,26220,0.0502350027631583,1.31477026846485
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,570,46,26220,0.0547307999199637,1.46983880315228
"mean",0.05,0,0.05,0,1,570,46,26220,0.0162173265356886,1.00388879519522
"mean",0.05,0.05,0,0,1,570,46,26220,0.0968871182421532,3.29248595360545
"mean",0.05,0,0,0.05,1,570,46,26220,0.0159358660891469,1.00163654823543
"mean",0.05,0.025,0.025,0,1,570,46,26220,0.0529545062870402,1.38108910860843
"mean",0.05,0,0.025,0.025,1,570,46,26220,0.0159196415201056,1.01736412376418
"mean",0.05,0.025,0,0.025,1,570,46,26220,0.0480977318271712,1.35408488379636
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,570,46,26220,0.0541598760500389,1.40032119933738
"mean",0.01,0,0.01,0,1,570,24,13680,0.0144717771188276,0.997512991253805
"mean",0.01,0.01,0,0,1,570,24,13680,0.143996634979503,4.63955924873433
